id_centro_codigo,centro_tipo_desc_abreviada,centro_tipo_descripcion
16,CIMELPR PRSEC,"CENTRO INTEGRADO DE ENSEÑANZAS ARTÍSTICAS ELEMENTALES Y PROFESIONALES DE MÚSICA, EDUCACIÓN PRIMARIA Y SECUNDARIA"
220,CAU ENS. DEP. GM/SUP,CENTRO AUTORIZADO DE ENSEÑANZAS DEPORTIVAS GRADO MEDIO Y SUPERIOR
105,CAU SUP DISEÑO,CENTRO AUTORIZADO SUPERIOR DE DISEÑO
17,CIMPR SEC,CENTRO INTEGRADO DE ENSEÑANZAS ARTÍSTICAS  PROFESIONALES DE MÚSICA Y EDUCACIÓN SECUNDARIA
152,CSU DANZA,CONSERVATORIO SUPERIOR DE DANZA
39,CREI,CENTRO REGIONAL DE ENSEÑANZAS INTEGRADAS
81,EXEOI,EXTENSION ESCUELA OFICIAL DE IDIOMAS
159,CAU SU DANZA,CENTRO AUTORIZADO SUPERIOR DE DANZA
106,ESC SUP DISEÑO,ESCUELA SUPERIOR DE DISEÑO
104,CAU ARTES PLA-DIS,CENTRO AUTORIZADO DE ARTES PLÁSTICAS Y DISEÑO
172,CAU SU ARTE DRA,CENTRO AUTORIZADO SUPERIOR DE ARTE DRAMÁTICO
305,C. DOC. MILITAR,CENTRO DOCENTE MILITAR
418,A. HOSP. PRIV.,AULA HOSPITALARIA PRIVADA
139,CAU SU MUS,CENTRO AUTORIZADO SUPERIOR DE MÚSICA
414,CAU EL MUS-DANZA,CENTRO AUTORIZADO ELEMENTAL DE MÚSICA Y DANZA
221,CAU ENS.DEP.G.M,CENTRO AUTORIZADO DE ENSEÑANZAS DEPORTIVAS GRADO MEDIO
222,CAU ENS.DEP.G.S.,CENTRO AUTORIZADO DE ENSEÑANZAS DEPORTIVAS GRADO SUPERIOR
223,C. PUB. ENS. DEPORT.,CENTRO PÚBLICO DE ENSEÑANZAS DEPORTIVAS
304,CF EMPLEO,CENTRO DE FORMACIÓN PARA EL EMPLEO
206,EOEP GENERAL,EQUIPO DE ORIENTACIÓN EDUCATIVA Y PSICOPEDAGÓGICA. GENERAL.
205,EOEP ATEN-TEMPR,EQUIPO DE ORIENTACIÓN EDUCATIVA Y PSICOPEDAGÓGICA. ATENCIÓN TEMPRANA
204,EOEP ESPECÍFICO,EQUIPO DE ORIENTACIÓN EDUCATIVA Y PSICOPEDAGÓGICA. ESPECÍFICO
420,ISMIE,INSTITUTO SUPERIOR MADRILEÑO DE INNOVACIÓN EDUCATIVA
413,CFA,CENTRO DE FORMACIÓN AMBIENTAL
38,CET,CENTRO EDUCATIVO-TERAPÉUTICO
412,CTIF,CENTRO TERRITORIAL DE INNOVACIÓN Y FORMACIÓN
419,CFII,CENTRO DE FORMACIÓN PARA INTERCAMBIOS INTERNACIONALES
303,C. DOC. EN EXTRANJ.,CENTRO DOCENTE EN EL EXTRANJERO
