id_centro_titular,centro_titular
131,HNAS. CARMELITAS TERESIANAS DE SAN JOSE
132,"COLEGIO CENTRAL MANUEL MUÑOZ, S.L."
133,"COLEGIO SOROLLA B, S.L."
134,FUNDACION BENEFICO-DOCENTE CIUDAD DE LOS MUCHACHOS
135,"PROLICON, S.A."
136,MISIONERAS DEL INMACULADO CORAZON DE MARIA
137,"COLEGIO DECROLY, S.L."
138,FUNDACIÓN EDUCATIVA FRANCISCANAS ANA MOGAS
139,FUNDACION VIRGEN DE LA ALMUDENA
140,FUNDACION TRILEMA
141,"CENTRO CULTURAL Y DEPORTIVO TAJAMAR, S.A."
142,FUNDACION EDUCATIVA FRANCISCANAS DE MONTPELLIER
143,"NEBRI, S.A."
144,SACERDOTES DEL CORAZON DE JESUS(PP.REPARADORES)
145,PADRES REDENTORISTAS
146,"GRISSA, S.L."
147,"DICENDO, S.L."
148,ASOCIAC.PADRES Y FAMILIARES DE MINUS.PSIQUICOS Y SENSORIALES
149,FUNDACION EDUCACION CATOLICA
150,HNAS. DE NUESTRA SEÑORA DE LA COMPASION
151,FUNDACION SAN BERNARDO
152,CONGREGACION DE LOS HNOS.DE LA INSTRUCCION CRISTIANA
153,RELIGIOSAS DE LA ORDEN DE NTRA.SRA.DE LA MERCED
154,RELIGIOSAS HIJAS DE LA DIVINA PASTORA
155,CONGREGRACION DE LOS PADRES MERCEDARIOS
156,HNAS. DE LA CARIDAD DEL SGDO.CORAZON JESUS
157,HNAS. DE NTRA. SRA. DE LA CONSOLACION
158,ESCUELAS PIAS PROVINCIA DE BETANIA
159,"COLEGIO NTRA. SRA. DE GRACIA, S.L."
160,"LICEO MADARIAGA, S.L."
161,HNAS. MERCEDARIAS DE LA CARIDAD
162,"NUESTRA SEÑORA DE LA MERCED, S.L."
163,ENSEÑANZA Y PEDAGOGIA S.A.
164,FUNDACION HOGAR DEL EMPLEADO
165,ORDEN COMPAÑÍA DE JESÚS (JESUITAS). PROVINCIA DE ESPAÑA
166,"EN2 INNOVACION DE PROYECTOS EDUCATIVOS, S. L."
167,AFANIAS
168,"CONOCIMIENTO Y FORMACION, S.A."
169,RELIGIOSAS DE LA PUREZA DE MARIA
170,RELIGIOSAS DE LOS SANTOS ANGELES CUSTODIOS
171,PADRES FRANCISCANOS TERCERA ORDEN REGULAR
172,HNAS. DE LA CARIDAD DEL SGDO.CORAZON DE JESUS
173,CONGREGACION DE RELIGIOSAS SAGRADA FAMILIA DE URGEL
174,PROVINCIA DE HERMANOS MENORES CAPUCHINOS DE ESPAÑA
175,HNAS. SALESIANAS DEL SAGRADO. CORAZON DE JESUS
176,"ORBILUX, S.L."
177,CONGREGACION DE RELIGIOSAS SAGRADOS CORAZONES
178,FUNDACIÓN LA SALLE SAN RAFAEL
179,"CENTROS DE ENSEÑANZA SAN FERMIN, S.L.16390"
180,FRANCISCANAS DE LOS SAGRADOS CORAZONES
181,UNION DE CENTROS DE ENSEÑANZA S.A.
182,"PADRES CARMELITAS, PROVINCIA BETICA"
183,RELIGIOSOS SALESIANOS DE SAN JUAN BOSCO
184,COLEGIO SAN PEDRO S.L.
185,FUNDACION EDUCATIVA FRANCISCO COLL
186,MISIONERAS DEL SAGRADO CORAZON DE JESUS
187,FUNDACION DE SANTAMARCA Y DE SAN RAMON Y SAN ANTONIO (FSRA)
188,"ESCOLAR CERVERA, S.A."
189,CONGREGACION PADRES CARMELITAS
190,PADRES TERCIARIOS CAPUCHINOS
191,HNOS. DE SAN GABRIEL
192,PADRES SALESIANOS
193,SECULSA (ENSEÑANZA Y CULTURA S.A.)
194,"CENTRO CULTURAL ELFO, SDA. COOP. MADRILEÑA"
195,FUNDACION PLAZA DE LOS OFICIOS
196,MISIONEROS CLARETIANOS
197,"SDAD. COOP. DE ENSEÑANZA ARGANZUELA, SDAD. COOP. MADRILEÑA"
198,"EUROPA VILLAVERDE, SOC.COOP.LDA."
199,PADRES AGUSTINOS
200,PROVINCIA AGUSTINIANA MATRITENSE-PADRES AGUSTINOS
201,"COLEGIO CUMBRE-OXFORD, S.L."
